lahmanid,playerid,managerid,hofid,birthyear,birthmonth,birthday,birthcountry,birthstate,birthcity,deathyear,deathmonth,deathday,deathcountry,deathstate,deathcity,namefirst,namelast,namenote,namegiven,namenick,weight,height,bats,throws,debut,finalgame,college,lahman40id,lahman45id,retroid,holtzid,bbrefid
7349,kelledu01,,,1893.0,9.0,30.0,США,Нью-Йорк,Нью-Йорк,1947.0,9.0,28.0,США,Нью-Йорк,Статен-Айленд,Дюк,Келлер,,Альберт Алойзийс,,180.0,67.0,,R,8/18/1916,8/18/1916,,kelledu01,kelledu01,kelld101,kelledu01,kelledu01
7361,kelleha01,,,1906.0,2.0,13.0,США,АР,Паркин,1958.0,3.0,23.0,США,АР,Паркин,Гарри,Келли,,Гарри Леро,,170.0,69.0,R,R,4/16/1925,7/23/1939,,kelleha01,kelleha01,kellh101,kelleha01,kelleha01
7364,kelleto01,,,1944.0,1.0,5.0,США,КТ,Манчестер,,,,,,,Том,Келли,,Томас Генри,,185.0,72.0,R,R,5/5/1964,5/20/1973,,kelleto01,kelleto01,kellt102,kelleto01,kelleto01
7373,kellybi03,,,1898.0,12.0,28.0,США,Нью-Йорк,Сиракузы,1990.0,4.0,8.0,США,Нью-Йорк,Сиракузы,Билл,Келли,,Уильям Генри,Большой Билл,190.0,72.0,R,R,9/6/1920,5/12/1928,,kellybi03,kellybi03,kellb102,kellybi03,kellybi03
7381,kellyji01,,,1884.0,2.0,1.0,США,НГ,Блумфилд,1961.0,4.0,10.0,США,ТН,Кингспорт,Джим,Келли,Также играл под своим настоящим именем Роберт Джон Тагерт в 1918 году,Джеймс Роберт,,180.0,70.0,"Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.",R,4/24/1914,7/4/1918,,kellyji01,kellyji01,kellj105,kellyji01,kellyji01
7387,kellyki02,,,1856.0,10.0,31.0,США,Нью-Йорк,Нью-Йорк,1926.0,3.0,27.0,США,Нью-Йорк,Малба,Кик,Келли,,Иоанн О.,Джемс Даймонд,185.0,72.0,,,5/1/1879,,,kellyki02,kellyki02,kellk102,kellyki02,kellyki02
7388,kellyki01,kellyki01m,kellyki01h,1857.0,12.0,31.0,США,Нью-Йорк,Трой,1894.0,11.0,8.0,США,МА,Бостон,Король,Келли,,Майкл Джозеф,,170.0,70.0,R,R,5/1/1878,9/2/1893,,kellyki01,kellyki01,kellk101,kellyki01,kellyki01
7396,kellyro01,,,1964.0,10.0,1.0,Панама,,Панам-Сити,,,,,,,Роберто,Келли,,Роберто Конрадо (Роже),Бобби,180.0,74.0,R,R,7/29/1987,4/18/2000,Хосе Долорес Москете,kellyro01,kellyro01,kellb002,kellyro01,kellyro01
7399,kellyva01,,,1946.0,3.0,18.0,США,НГ,Шарлотта,,,,,,,Фанни,Келли,,Ван Говард,,180.0,71.0,"Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.",R,6/13/1969,6/12/1970,,kellyva01,kellyva01,kellv101,kellyva01,kellyva01
7403,keltyjo01,,,1871.0,3.0,10.0,США,НГ,Джерси-Сити,1929.0,4.0,13.0,США,НГ,Джерси-Сити,Джон,Кельти,,Джон Джеймс,Начальник,175.0,70.0,,,4/19/1890,7/12/1890,,keltyjo01,keltyjo01,keltj101,keltyjo01,keltyjo01
7405,kemmeru01,,,1931.0,11.0,1.0,США,ПА,Питтсбург,,,,,,,Россия,Кеммерер,,Russell Paul,"Руст, голландский, киммерса́к",198.0,74.0,R,R,6/27/1954,6/23/1963,,kemmeru01,kemmeru01,kemmr101,kemmeru01,kemmeru01
7413,kennaed02,,,1897.0,9.0,30.0,США,Калифорния,Сан-Франциско,1972.0,8.0,21.0,США,Калифорния,Сан-Франциско,Эдди,Кенна,,Эдвард Аллойзус,Шинель,150.0,67.0,R,R,6/2/1928,9/5/1928,,kennaed02,kennaed02,kenne104,kennaed02,kennaed02
7420,kenneed01,,,1856.0,4.0,1.0,США,ПА,Карбондал,1905.0,5.0,20.0,США,Нью-Йорк,Нью-Йорк,Эд,Кеннеди,,Эдвард,,150.0,66.0,,,5/1/1883,8/25/1886,,kenneed01,kenneed01,kenne102,kenneed01,kenneed01
7431,kennesn01,,,1878.0,11.0,1.0,США,ОХ,Коннеавт,1945.0,8.0,15.0,США,ТХ,Пассейндэ,Клюка,Кеннеди,,Шерман Монтгомери,,165.0,70.0,В.,R,5/1/1902,5/1/1902,,kennesn01,kennesn01,kenns101,kennesn01,kennesn01
7438,kented01,,,1859.0,,,США,Нью-Йорк,,,,,,,,Эд,Кент,,Эдвард С.,,152.0,66.0,R,R,8/14/1884,8/14/1884,,kented01,kented01,kente101,kented01,kented01
7439,kentje01,,,1968.0,3.0,7.0,США,Калифорния,Беллфлёр,,,,,,,Джефф,Кент,,Джеффри Франклин,,185.0,73.0,R,R,4/12/1992,9/27/2008,Калифорнийский университет в Беркли,kentje01,kentje01,kentj001,kentje01,kentje01
7444,keougma01,,,1935.0,4.0,14.0,США,Калифорния,Оукленд,,,,,,,Марты,Коу,,Ричард Мартин,,180.0,72.0,"Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.","Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.",4/21/1956,9/16/1966,,keougma01,keougma01,keoum101,keougma01,keougma01
7461,kerrme01,,,1903.0,5.0,22.0,КАН,МБ,Сори,1980.0,8.0,9.0,США,ФЛ,Веро-Бич,Мел,Кэрр,,Джон Мелвилл,,155.0,71.0,"Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.","Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.",9/16/1925,9/16/1925,,kerrme01,kerrme01,kerrm101,kerrme01,kerrme01
7462,kerrijo01,kerrijo01m,,1954.0,1.0,30.0,США,ПА,Филиадельфиа,,,,,,,Джо,Керриган,,Ио́сев Фома́н,,205.0,77.0,R,R,7/9/1976,4/12/1980,Темпл,kerrijo01,kerrijo01,kerrj101,kerrijo01,kerrijo01
7463,kerwida01,,,1874.0,7.0,9.0,США,ПА,Филиадельфиа,1960.0,7.0,13.0,США,ПА,Филиадельфиа,Дэн,Кервин,Рожденный как Дэниел Патрик Кервин,Даниэль Патрик,,164.0,69.0,"Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.","Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.",9/27/1903,9/27/1903,,kerwida01,kerwida01,kerwd101,kerwida01,kerwida01
7471,keupphe01,,,1887.0,6.0,24.0,США,ИЛ,Стэнтон,1960.0,8.0,14.0,США,ИЛ,Марион,Генри,Куппер,,Генри Джон,,185.0,73.0,"Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.","Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.",4/19/1914,10/6/1914,,keupphe01,keupphe01,keuph101,keupphe01,keupphe01
7482,kieltbo01,,,1976.0,8.0,5.0,США,Калифорния,Фонтана,,,,,,,Бобби,Кельти,,,,225.0,73.0,В.,R,4/10/2001,9/30/2007,Миссисипи,kieltbo01,kieltbo01,kielb001,kieltbo01,kieltbo01
7484,kielyle01,,,1929.0,11.0,30.0,США,НГ,Хобокен,1984.0,1.0,18.0,США,НГ,Монтайн,Лео,Кели,,Лео Патрик,Кики,180.0,74.0,"Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.","Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.",6/27/1951,6/20/1960,,kielyle01,kielyle01,kiell101,kielyle01,kielyle01
7491,kilhupa01,,,1890.0,8.0,10.0,США,ПА,Карбондал,1922.0,10.0,25.0,США,Калифорния,Сан-Леандро,Пэт,Килхулен,,Иозеф Исадор,,175.0,69.0,R,R,6/10/1914,6/10/1914,,kilhupa01,kilhupa01,kilhp101,kilhupa01,kilhupa01
7511,kimmbr01,kimmbr01m,,1951.0,6.0,29.0,США,Я,Кедаров-Рапидс,,,,,,,Брюс,Ким,,Брюс Эдвард,,175.0,71.0,R,R,5/4/1976,9/19/1980,Айова,kimmbr01,kimmbr01,kimmb101,kimmbr01,kimmbr01
7512,kimmiwa01,,,1897.0,5.0,30.0,США,ПА,Трелл-Крик,1989.0,7.0,24.0,США,ПА,Босвелл,Уолли,Киммик,,Уолтер Лайонс,,174.0,71.0,R,R,9/13/1919,6/12/1926,,kimmiwa01,kimmiwa01,kimmw101,kimmiwa01,kimmiwa01
7518,kingcl01,kingcl01m,,1924.0,5.0,23.0,США,НГ,Голсборо,,,,,,,Клайд,Король,,Клайд Эдвард,,175.0,73.0,В.,R,6/21/1944,9/27/1953,,kingcl01,kingcl01,kingc101,kingcl01,kingcl01
7522,kingje01,,,1964.0,12.0,26.0,США,В,Марион,,,,,,,Джефф,Король,,Джеффри Уэйн,,175.0,73.0,R,R,6/2/1989,5/21/1999,Арканзас,kingje01,kingje01,kingj001,kingje01,kingje01
7528,kingma01,,,1849.0,12.0,,США,Нью-Йорк,Трой,1911.0,10.0,19.0,США,Нью-Йорк,Трой,Март,Король,,Маршал Ней,,176.0,69.0,,R,5/8/1871,6/17/1872,,kingma01,kingma01,kingm101,kingma01,kingma01
7530,kingra01,,,1974.0,1.0,15.0,США,ИЛ,Чикаго,,,,,,,Рей,Король,,,,225.0,73.0,"Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.","Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.",5/21/1999,4/23/2008,,kingra01,kingra01,kingr001,kingra01,kingra01
7541,kinlowa01,,,1874.0,3.0,21.0,США,МО,Святой Иосиф,1931.0,2.0,15.0,США,Нью-Йорк,Нью-Йорк,Билли,Кинлох,ранее известный как Уолтер Книклок,Вильям Фрэнсис,,,,,,8/1/1895,8/1/1895,,kinlowa01,kinlowa01,kinlw101,kinlowa01,kinlowa01
7543,kinnema01,,,1976.0,12.0,16.0,США,Я,Бэнгор,,,,,,,Мэтт,Кинне,,,,230.0,77.0,R,R,8/18/2000,9/28/2005,,kinnema01,kinnema01,kinnm002,kinnema01,kinnema01
7546,kinsebo01,,,1899.0,1.0,5.0,США,ИЛ,Спрингфилд,1951.0,12.0,30.0,США,Калифорния,Лос-Анджелес,Боб,Кинселла,,Роберт Фрэнсис,красный,165.0,69.0,"Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.",R,9/20/1919,10/2/1920,,kinsebo01,kinsebo01,kinsb101,kinsebo01,kinsebo01
7555,kippeth01,,,1928.0,9.0,27.0,США,ВИ,Баглей,2006.0,3.0,29.0,США,АЗ,Скоттсдейл,Торнтон,Киппер,,Торнтон Джон,,190.0,75.0,R,R,6/7/1953,7/17/1955,,kippeth01,kippeth01,kippt101,kippeth01,kippeth01
7560,kirbyla01,,,1889.0,12.0,30.0,США,МИ,Эурека,1961.0,6.0,10.0,США,МИ,Лансинг,Улица,Кирби,,Улица,,185.0,72.0,В.,R,8/7/1912,9/14/1915,,kirbyla01,kirbyla01,kirbl101,kirbyla01,kirbyla01
7562,kirchmi01,,,1897.0,9.0,30.0,США,Нью-Йорк,Рочестер,1972.0,6.0,26.0,США,Нью-Йорк,Рочестер,Майк,Киршер,Вольфганг Эндрю Кершер,Майкл Эндрю,,180.0,72.0,В.,R,8/8/1919,4/18/1921,,kirchmi01,kirchmi01,kircm101,kirchmi01,kirchmi01
7566,kirklwi01,,,1934.0,2.0,17.0,США,АЛ,Силурия,,,,,,,Уилли,Киркленд,,Уилли Чарльз,,206.0,73.0,"Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.",R,4/15/1958,9/26/1966,,kirklwi01,kirklwi01,kirkw101,kirklwi01,kirklwi01
7571,kirscha01,,,1887.0,10.0,17.0,США,ПА,Питтсбург,1925.0,12.0,25.0,США,ПА,Овербрук,Гарри,Кирш,,Гарри Луис,Кейси,170.0,71.0,R,R,4/16/1910,4/28/1910,,kirscha01,kirscha01,kirsh101,kirscha01,kirscha01
7580,kittrma01,kittrma01m,,1869.0,10.0,12.0,США,МА,Клинтон,1928.0,6.0,23.0,США,В,Гарри,Малахай,Китридж,,Малаки Йедидах,Едеа,170.0,67.0,R,R,4/19/1890,8/8/1906,,kittrma01,kittrma01,kittm101,kittrma01,kittrma01
7582,klagefr01,,,1943.0,10.0,31.0,США,ПА,Амбридж,,,,,,,Фред,Кляги,,Фредерик Альберт Энтони,,185.0,74.0,R,R,9/11/1966,9/11/1967,,klagefr01,klagefr01,klagf101,klagefr01,klagefr01
7587,klawito01,,,1958.0,6.0,24.0,США,ВИ,ЛаКросс,,,,,,,Том,Клавиттер,,Томас Карл,,190.0,74.0,R,"Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.",4/14/1985,5/21/1985,Висконсин-Лакросс,klawito01,klawito01,klawt001,klawito01,klawito01
7607,klingbi01,,,1867.0,1.0,14.0,США,МО,Канзас-Сити,1934.0,8.0,26.0,США,МО,Канзас-Сити,Билл,Клинг,,Уильям,,190.0,72.0,"Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.",R,8/13/1891,4/20/1895,,klingbi01,klingbi01,klinb102,klingbi01,klingbi01
7610,klingsc01,,,1971.0,2.0,3.0,США,ОХ,Цинциннати,,,,,,,Скотт,Клингенбек,,Скотт Эдвард,,205.0,74.0,R,R,6/2/1994,6/23/1998,Огайо Стейт,klingsc01,klingsc01,klins001,klingsc01,klingsc01
7614,klippjo01,,,1927.0,10.0,17.0,США,ДК,Вашингтон,2003.0,10.0,10.0,США,ИЛ,Элгин,Джонни,Клиппштейн,,Жан Кальвин,,173.0,73.0,R,R,5/3/1950,5/27/1967,,klippjo01,klippjo01,klipj101,klippjo01,klippjo01
7630,kneisru01,,,1899.0,4.0,10.0,США,МД,Балтимор,1965.0,4.0,6.0,США,МД,Балтимор,Руди,Кнейш,,Рудольф Франк,,175.0,70.0,R,"Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.",9/21/1926,9/26/1926,,kneisru01,kneisru01,kneir101,kneisru01,kneisru01
7635,knetzel01,,,1885.0,7.0,22.0,США,ПА,Каррик,1975.0,10.0,3.0,США,ПА,Питтсбург,Эльмер,Кнецлер,,Эльмер Эллисворт,Барон,180.0,70.0,R,R,9/11/1909,6/18/1917,,knetzel01,knetzel01,knete101,knetzel01,knetzel01
7637,knickau01,,,1918.0,10.0,15.0,США,Нью-Йорк,Бангал,1997.0,2.0,18.0,США,Нью-Йорк,Клинтон-Корнерс,Остин,Никербокер,,Остин Джей,,185.0,71.0,R,R,4/19/1947,9/28/1947,,knickau01,knickau01,knica101,knickau01,knickau01
7640,knighge01,,,1855.0,11.0,24.0,США,КТ,Озеро-Виллидж,1912.0,10.0,4.0,США,КТ,Салисбери,Джордж,Рыцарь,,Джордж Генри,,,,,,9/28/1875,9/28/1875,,knighge01,knighge01,knigg101,knighge01,knighge01
7643,knighjo02,,,1885.0,10.0,6.0,США,ПА,Филиадельфиа,1965.0,12.0,19.0,США,Калифорния,Ореховый ручей,Джон,Рыцарь,,Джон Уэсли,Ученик,180.0,74.0,R,R,4/14/1905,10/4/1913,,knighjo02,knighjo02,knigj102,knighjo02,knighjo02
7644,knighlo01,knighlo01m,,1853.0,6.0,16.0,США,ПА,Филиадельфиа,1932.0,4.0,23.0,США,ПА,Филиадельфиа,Лон,Рыцарь,,Алонсо П.,,165.0,71.0,R,R,9/4/1875,10/10/1885,,knighlo01,knighlo01,knigl101,knighlo01,knighlo01
7647,knoblch01,,knoblch01h,1968.0,7.0,7.0,США,ТХ,Хьюстон,,,,,,,Чак,Чеснок,,Эдвард Чарльз,,175.0,69.0,R,R,4/9/1991,9/27/2002,Техасский АГИ,knoblch01,knoblch01,knobc001,knoblch01,knoblch01
7655,knothge01,,,1898.0,1.0,12.0,США,НГ,Баяне,1981.0,7.0,3.0,США,НГ,Довер,Джордж,Кноте,,Джордж Бертрам,,165.0,70.0,R,R,4/25/1932,5/25/1932,,knothge01,knothge01,knotg101,knothge01,knothge01
7661,knowdja01,,,1840.0,7.0,27.0,США,Нью-Йорк,Бруклин,,,,,,,Джейк,Ноуделл,,Якоб Август,,148.0,67.0,,,5/15/1874,,,knowdja01,knowdja01,knowj102,knowdja01,knowdja01
7668,knoxjo01,,,1948.0,7.0,26.0,США,НГ,Ньюарк,,,,,,,Джон,Кноx,,Джон Клинтон,,170.0,72.0,"Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.",R,8/1/1972,9/26/1975,,knoxjo01,knoxjo01,knoxj101,knoxjo01,knoxjo01
7690,kolbbr01,,,1973.0,11.0,20.0,США,Калифорния,Оукленд,,,,,,,Брэндон,Колб,,,,190.0,73.0,R,R,5/12/2000,9/19/2001,,kolbbr01,kolbbr01,kolbb001,kolbbr01,kolbbr01
7695,kolpra01,,,1894.0,10.0,1.0,США,ОХ,Новый Берлин,1967.0,7.0,29.0,США,ОХ,Цинциннати,Рей,Кольп,,Реймонд Карл,Джокей,187.0,70.0,R,R,4/16/1921,9/21/1934,,kolpra01,kolpra01,kolpr101,kolpra01,kolpra01
7700,konerpa01,,,1976.0,3.0,5.0,США,Ри,Провиденс,,,,,,,Пау́л,Конерко,,Пол Генри,,220.0,74.0,R,R,9/8/1997,,,konerpa01,konerpa01,konep001,konerpa01,konerpa01
7708,koober01,,,1892.0,9.0,11.0,США,МИ,Келлер,1941.0,11.0,12.0,США,МО,Лемей,Эрни,Кооб,,Эрнест Джерольд,,160.0,70.0,"Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.","Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.",6/23/1915,8/30/1919,,koober01,koober01,koobe101,koober01,koober01
7710,koonsha01,,,1862.0,8.0,18.0,США,ПА,Филиадельфиа,1932.0,4.0,5.0,США,НГ,Камден,Гарри,Кунс,,Гарри М.,,174.0,68.0,R,R,4/17/1884,7/5/1884,,koonsha01,koonsha01,koonh101,koonsha01,koonsha01
7714,kopfwa01,,,1899.0,7.0,10.0,США,КТ,Стонингтон,1979.0,4.0,30.0,США,ОХ,Хамильтон Каунти,Уолли,Копф,,Уолтер Генри,,168.0,71.0,В.,R,10/1/1921,10/2/1921,,kopfwa01,kopfwa01,kopfw101,kopfwa01,kopfwa01
7720,korchst01,,,1932.0,8.0,11.0,США,ПА,Макклеландтаун,,,,,,,Стив,Корчек,,Стивен Джозеф,Хосс,205.0,73.0,R,R,9/6/1954,9/27/1959,,korchst01,korchst01,korcs101,korchst01,korchst01
7724,koscoan01,,koscoan01h,1941.0,10.0,5.0,США,ОХ,Молодо́го города,,,,,,,Анди,Коско,,Эндрю Джон,,205.0,75.0,R,R,8/13/1965,7/30/1974,,koscoan01,koscoan01,kosca101,koscoan01,koscoan01
7725,koshocl01,,,1925.0,6.0,20.0,США,МИ,Королевский дуб,1991.0,9.0,8.0,США,МИ,Королевский дуб,Клемм,Кошорек,,Клемент Джон,Скутер,165.0,64.0,R,R,4/15/1952,4/14/1953,,koshocl01,koshocl01,koshc101,koshocl01,koshocl01
7730,kosmami01,,,1917.0,11.0,26.0,США,МИ,Хамтрамк,2002.0,12.0,10.0,США,В,Ла Файет,Майк,Косман,,Майкл Томас,,160.0,69.0,R,R,4/20/1944,4/20/1944,,kosmami01,kosmami01,kosmm101,kosmami01,kosmami01
7742,krachjo01,,,1913.0,11.0,4.0,США,ПА,Филиадельфиа,1981.0,12.0,24.0,США,ТХ,Сан-Аngéло,Джо,Крашер,,Ио́сеф Пе́тер,Кладбище,185.0,71.0,R,R,9/17/1939,9/30/1939,,krachjo01,krachjo01,kracj101,krachjo01,krachjo01
7744,kraftcl01,,,1887.0,6.0,9.0,США,В,Эвансвилл,1958.0,3.0,26.0,США,ТХ,Форт-Уорт,Клэрнс,Крафт,,Кларенс Отто,Большой мальчик,190.0,72.0,R,R,5/1/1914,5/15/1914,,kraftcl01,kraftcl01,krafc101,kraftcl01,kraftcl01
7754,krausch01,,,1873.0,10.0,2.0,США,МИ,Детройт,1948.0,3.0,30.0,США,МИ,Элоиза,Чарли,Краус,,Чарльз Фредерик,,,66.0,,R,7/27/1901,7/27/1901,,krausch01,krausch01,krauc101,krausch01,krausch01
7759,kravida01,,,1930.0,12.0,21.0,США,ПА,Лопес,,,,,,,Дэнни,Кравиц,,Даниэль,"Пыльный, Клюв",195.0,71.0,"Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.",R,4/17/1956,9/18/1960,,kravida01,kravida01,kravd101,kravida01,kravida01
7760,krawcra01,,,1959.0,10.0,9.0,США,ПА,Питтсбург,,,,,,,Рей,Кравчик,,Реймонд Аллен,,184.0,73.0,R,R,6/29/1984,4/28/1989,Орал Робертс,krawcra01,krawcra01,krawr001,krawcra01,krawcra01
7765,kreitra01,,,1885.0,11.0,13.0,США,НЕ,Сливовый ручей,1941.0,7.0,20.0,США,О́,Портленд,Ральф,Крейц,,Ральф Уэсли,красный,175.0,69.0,R,R,8/1/1911,10/8/1911,,kreitra01,kreitra01,kreir101,kreitra01,kreitra01
7773,kreugri01,,,1948.0,11.0,3.0,США,МИ,Гранд-Рапиды,,,,,,,Рик,Креуэр,,Ричард Аллен,,185.0,74.0,R,"Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.",9/6/1975,5/7/1978,,kreugri01,kreugri01,kreur101,kreugri01,kreugri01
7774,kreutch01,,,1964.0,8.0,26.0,США,Калифорния,Гринбрей,,,,,,,Чад,Креутер,,Чэдден Майкл,,190.0,74.0,В.,R,9/14/1988,4/27/2003,Перкинс-Уодд,kreutch01,kreutch01,kreuc001,kreutch01,kreutch01
7790,krueger01,,,1890.0,12.0,27.0,США,ИЛ,Чикаго,1976.0,4.0,22.0,США,ИЛ,Ваукеган,Эрни,Кругер,,Эрнест Джордж,,185.0,70.0,R,R,8/4/1913,10/4/1925,,krueger01,krueger01,kruee101,krueger01,krueger01
7791,kruegot01,,,1876.0,9.0,17.0,США,ИЛ,Чикаго,1961.0,2.0,20.0,США,МО,Сент-Луис,Ото,Кругер,,Артур Уильям,Папа Римский,165.0,67.0,R,R,9/16/1899,9/22/1905,,kruegot01,kruegot01,krueo101,kruegot01,kruegot01
7793,krugge01,,,1955.0,2.0,12.0,США,К,Городской сад,,,,,,,Гене,Круг,,Гэри Юджин,,225.0,76.0,"Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.","Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.",4/29/1981,5/14/1981,Оклахома,krugge01,krugge01,krugg101,krugge01,krugge01
7795,krugma01,,,1888.0,9.0,10.0,Германия,,Кобленц,1966.0,6.0,27.0,США,Калифорния,Глендейл,Марты,Круг,,Мартин Джон,,165.0,69.0,R,R,5/29/1912,9/27/1922,,krugma01,krugma01,krugm101,krugma01,krugma01
7797,krugear01,,,1881.0,3.0,16.0,США,ТХ,Сан-Антонио,1949.0,11.0,28.0,США,Калифорния,Хондо,Искусство,Кругер,,Артур Теодор,,185.0,72.0,R,R,4/11/1907,9/26/1915,,krugear01,krugear01,kruga101,krugear01,krugear01
7799,krukomi01,,krukomi01h,1952.0,1.0,21.0,США,Калифорния,Долгий-Бич,,,,,,,Майк,Круков,,Майкл Эдвард,Польский принц,205.0,77.0,R,R,9/6/1976,6/4/1989,Калифорнийский политехнический университет в Сан-Луис-Обиспо,krukomi01,krukomi01,krukm001,krukomi01,krukomi01
7801,kryhodi01,,,1925.0,3.0,24.0,США,НГ,Леония,2007.0,4.0,10.0,США,МИ,Беверли-Хиллз,Дик,криховски,,Ричард Дэвид,,182.0,74.0,"Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.","Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.",4/19/1949,6/10/1955,,kryhodi01,kryhodi01,kryhd101,kryhodi01,kryhodi01
7826,kunkeje01,,,1962.0,3.0,25.0,США,ФЛ,Западный Палм-Бич,,,,,,,Джефф,Кунель,,Джефри Уильям,,180.0,74.0,R,R,7/23/1984,9/14/1992,Райдер,kunkeje01,kunkeje01,kunkj001,kunkeje01,kunkeje01
7832,kuseled01,,,1886.0,2.0,15.0,США,ОХ,Кливленд,1948.0,10.0,20.0,США,ОХ,Кливленд,Эд,Кусель,,Эдвард Даниэль,,165.0,72.0,,R,9/18/1909,10/1/1909,,kuseled01,kuseled01,kusee101,kuseled01,kuseled01
7842,kvasnal01,,,1921.0,1.0,11.0,США,ПА,Сагамор,2002.0,9.0,26.0,США,Калифорния,Аркадия,Ал,Кваснак,,Александр,,170.0,73.0,R,R,4/15/1942,5/3/1942,,kvasnal01,kvasnal01,kvasa101,kvasnal01,kvasnal01
7843,kylean01,,,1889.0,10.0,29.0,КАН,Да,Торонто,1971.0,9.0,6.0,КАН,Да,Торонто,Анди,Кайл,,Андрю Эвин,,160.0,68.0,"Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.","Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.",9/7/1912,10/6/1912,,kylean01,kylean01,kylea101,kylean01,kylean01
7849,lachema01,lachema01m,,1941.0,6.0,13.0,США,Калифорния,Лос-Анджелес,,,,,,,Марсель,Лачманн,,Марсель Эрнест,,185.0,72.0,R,R,6/4/1969,4/25/1971,,lachema01,lachema01,lachm101,lachema01,lachema01
7850,lachere01,lachere01m,,1945.0,5.0,4.0,США,Калифорния,Лос-Анджелес,,,,,,,Рене,Лачманн,,Рене Джордж,,198.0,72.0,R,R,5/4/1965,6/8/1968,,lachere01,lachere01,lachr101,lachere01,lachere01
7852,lacke01,,,1870.0,12.0,8.0,США,Западная Вирджиния,Сент-Албанс,1941.0,5.0,15.0,США,ОХ,Колумбус,Уильям,Слуга,ранее известная как просто Lackey,Уильям Д. Лэкси,,,,,,10/2/1890,10/2/1890,,lacke01,lacke01,lacku101,lackebi01,lacke01
7855,lacosmi01,,,1956.0,5.0,30.0,США,Калифорния,Глендейл,,,,,,,Майк,ЛаКосс,,Майкл Джеймс,,185.0,77.0,R,R,7/18/1978,7/2/1991,,lacosmi01,lacosmi01,lacom001,lacosmi01,lacosmi01
7856,lacygu01,,,1897.0,6.0,12.0,США,ТН,Кливленд,1953.0,11.0,19.0,США,ТН,Кливленд,Guy,Лацци,,Оссеола Гай,,170.0,71.0,R,R,5/7/1926,8/17/1926,,lacygu01,lacygu01,lacyg101,lacygu01,lacygu01
7857,lacyke01,,,1972.0,8.0,7.0,США,ТН,Чаттануг,,,,,,,Кери,Лацци,,Кери Арден,,195.0,74.0,R,R,8/16/1996,8/21/1997,Чаттануга государственный,lacyke01,lacyke01,lacyk001,lacyke01,lacyke01
7860,laddpe01,,,1956.0,7.0,17.0,США,Я,Портленд,,,,,,,Питер,Лэд,,Питер Линвуд,,228.0,75.0,R,R,8/17/1979,10/3/1986,Массачусетс,laddpe01,laddpe01,laddp001,laddpe01,laddpe01
7861,ladedo01,,,1921.0,2.0,17.0,США,НЕ,Фейरबери,2000.0,5.0,18.0,США,НЕ,Линкольн,Доуэл,Лада,,Дойл Марион,Жирный,183.0,70.0,R,R,9/18/1946,9/29/1950,,ladedo01,ladedo01,laded101,ladedo01,ladedo01
7863,lafatjo01,,,1921.0,8.0,3.0,США,МИ,Детройт,2004.0,5.0,6.0,США,МИ,Роузвилл,Джо,Лафата,,Ио́сеф Ио́сифович,,163.0,72.0,"Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.","Hello, how can I help you today? Please provide me with the text that needs to be translated from English to Russian.",4/17/1947,9/25/1949,,lafatjo01,lafatjo01,lafaj101,lafatjo01,lafatjo01
7877,lakejo01,,,1881.0,1.0,6.0,США,Нью-Йорк,Бруклин,1950.0,6.0,30.0,США,Нью-Йорк,Бруклин,Джо,Озеро,,Джозеф Генри,,185.0,72.0,R,R,4/21/1908,8/25/1913,,lakejo01,lakejo01,lakej101,lakejo01,lakejo01
